id	freq
12283729	s656
12283604	s533
12283556	s472
12283428	s433
12283306	s405
12283192	s383
12283062	s366
12282903	s351
12282904	s339
12282426	s329
12282634	s319
12282590	s311
12282056	s304
12282102	s297
12281876	s291
12281674	s285
12282093	s280
12282143	s275
12282035	s271
12282103	s267
12281187	s263
12281334	s259
12281954	s256
12281346	s253
12281554	s250
12281912	s247
12281208	s244
12280856	s241
12281265	s239
12281329	s236
12281781	s234
12281254	s232
12282104	s230
12281764	s228
12281211	s226
12281095	s224
12279242	s222
12280761	s220
12278844	s218
12278523	s217
12280396	s215
12280224	s214
12279786	s212
12280321	s211
12279965	s209
12280184	s208
12280150	s207
12279611	s205
12279629	s204
12279997	s203
12279648	s202
12280361	s200
12279650	s199
12279462	s198
12278381	s197
12279775	s196
12279867	s195
12279281	s194
12277168	s193
12278177	s192
12279875	s191
12278842	s190
12278088	s189
12280012	s188
12279733	s187
12278584	s187
12278475	s186
12279333	s185
12279583	s184
12279479	s183
12276517	s183
12280086	s182
12277257	s181
12277433	s180
12274559	s180
12278150	s179
12278260	s178
12278119	s177
12278954	s177
12279036	s176
12278267	s175
12276661	s175
12276955	s174
12277768	s174
12276503	s173
12276876	s172
12277066	s172
12279165	s171
12276499	s171
12276846	s170
12277803	s169
12277122	s169
12278107	s168
12276769	s168
12277588	s167
12275473	s167
12277798	s166
12274023	s166
12275856	s165
12277603	s165
